,단어명,조선일보,한겨레,세계일보,총빈도수
838,중국인,15,3,31,49
1439,공포,8,9,32,49
1393,언제,8,18,23,49
1140,질환,11,13,25,49
983,홍보,13,17,19,49
748,무효,17,12,20,49
2119,꼼수,3,21,25,49
1206,복귀,10,15,24,49
1134,민간인,11,22,16,49
1224,식중독,10,4,35,49
1112,배제,11,18,19,48
1059,성공,12,11,25,48
1111,복직,11,17,20,48
640,수석,20,11,17,48
1591,최악,7,17,24,48
848,침묵,15,10,23,48
1137,입국,11,5,32,48
1073,선원,12,5,31,48
1217,동네,10,13,25,48
615,강서,21,7,20,48
1954,라며,4,2,42,48
1151,충격,11,6,31,48
1047,막말,12,13,23,48
1697,사흘,6,19,23,48
1569,경비,7,15,26,48
1036,침입,12,6,30,48
1412,인력,8,11,29,48
2113,여전,3,12,33,48
971,현대,13,20,15,48
1754,마당,5,33,10,48
1366,기무사,8,16,24,48
1695,현실,6,10,32,48
746,국장,17,17,13,47
1532,아동학대,7,10,30,47
722,위헌,18,13,16,47
1189,자격,10,9,28,47
884,내부,15,14,18,47
662,정권,20,10,17,47
391,신임,30,7,10,47
776,상처,17,12,18,47
761,인기,17,13,17,47
1008,삭제,13,12,22,47
711,민변,19,13,15,47
590,지지자,22,4,21,47
1202,이동,10,13,24,47
1246,명의,9,16,22,47
1423,체험,8,23,16,47
785,차관,16,14,17,47
747,원금,17,12,18,47
985,심의,13,17,17,47
793,돌진,16,4,27,47
979,고문,13,24,10,47
731,행복,18,14,15,47
976,투약,13,3,30,46
1484,불허,7,14,25,46
1505,시절,7,9,30,46
857,체류,15,7,24,46
702,신문,19,20,7,46
1445,선거법,8,23,15,46
810,판정,16,14,16,46
867,외부,15,11,20,46
717,부영,18,7,21,46
735,검찰총장,18,15,13,46
1797,소비자,5,4,37,46
1778,조카,5,14,27,46
1751,가정,5,8,33,46
1286,급식,9,11,26,46
669,북상,20,15,11,46
2255,노동계,2,29,15,46
916,최소,14,14,18,46
1780,알바생,5,4,37,46
834,싸움,16,15,15,46
1639,휴대전화,6,4,35,45
1241,지속,10,13,22,45
1116,거짓말,11,12,22,45
693,내달,19,9,17,45
909,당한,14,11,20,45
1821,본부,5,12,28,45
821,추돌,16,6,23,45
1063,운영자,12,15,18,45
755,다리,17,10,18,45
1536,심각,7,9,29,45
908,스마트폰,14,8,23,45
963,알몸,13,8,24,45
616,대사,21,10,14,45
1257,노사,9,23,13,45
730,변론,18,13,14,45
1236,여직원,10,7,28,45
1449,업주,8,4,33,45
993,계약,13,14,18,45
1197,배출,10,24,11,45
1275,소녀,9,19,17,45
1481,드론,7,14,24,45
1099,유기,11,7,27,45
1284,음식,9,12,24,45
1443,부동산,8,18,19,45
2139,전주,3,23,19,45
546,스타,23,13,9,45
1602,자치,6,20,19,45
653,구한,20,5,20,45
774,총리,17,14,13,44
837,라인,16,12,16,44
1282,손해배상,9,13,22,44
1187,상황,10,9,25,44
1819,교류,5,27,12,44
1300,약속,9,19,16,44
1407,신체,8,6,30,44
819,연인,16,8,20,44
1550,고객,7,9,28,44
786,이중근,16,4,24,44
781,흔적,17,12,15,44
1219,자매,10,7,27,44
1419,중학생,8,12,24,44
1030,차로,12,11,21,44
1010,소장,13,6,25,44
997,중상,13,5,26,44
1125,그대로,11,16,17,44
1524,반응,7,6,31,44
1054,법률,12,7,25,44
1502,고양이,7,10,27,44
968,배당,13,23,8,44
1057,취재,12,19,13,44
1098,무시,11,8,25,44
1005,불복,13,7,24,44
1133,케어,11,8,25,44
1196,인증,10,9,24,43
1012,앞바다,13,8,22,43
1375,농도,8,20,15,43
1267,책임자,9,14,20,43
1638,변화,6,20,17,43
1379,증인,8,7,28,43
634,변협,21,8,14,43
1056,고장,12,9,22,43
1253,대기,9,13,21,43
1014,도움,13,7,23,43
1313,중형,9,13,21,43
682,직권남용,19,10,14,43
1858,중심,5,20,18,43
1166,생존자,10,16,17,43
694,필리핀,19,5,19,43
1292,목포,9,17,17,43
1416,입학,8,10,25,43
1037,중요,12,8,23,43
1543,치사,7,9,27,43
1415,군인,8,13,22,43
828,상자,16,6,20,42
638,최경환,20,7,15,42
1400,독도,8,13,21,42
1714,지구,6,23,13,42
1310,감소,9,10,23,42
1194,사관,10,14,18,42
850,실질,15,11,16,42
1660,신설,6,20,16,42
1331,파악,9,10,23,42
840,노력,15,7,20,42
1230,무면허,10,3,29,42
977,자기,13,9,20,42
895,의뢰,14,7,21,42
1208,정말,10,7,25,42
1211,독립,10,22,10,42
1039,형량,12,7,23,42
1696,대중교통,6,17,19,42
1156,도피,10,12,20,42
1870,취해,4,2,36,42
1599,친부,7,6,29,42
1153,필로폰,10,5,27,42
1468,온라인,7,8,27,42
990,퇴진,13,15,14,42
1906,원룸,4,8,30,42
1161,가방,10,8,24,42
1273,고향,9,19,14,42
1542,사례,7,14,21,42
898,천안,14,7,20,41
1315,로스쿨,9,4,28,41
1387,명품,8,8,25,41
1478,등록,7,13,21,41
1368,접근,8,15,18,41
1659,통합,6,24,11,41
936,아래,14,9,18,41
1058,여자친구,12,4,25,41
1251,포착,9,13,19,41
1480,뇌물수수,7,9,25,41
2133,군수,3,19,19,41
2006,만원,3,9,29,41
1708,현대차,6,20,15,41
1249,요금,9,12,20,41
1355,회삿돈,8,11,22,41
912,휴대폰,14,7,20,41
946,수첩,14,15,12,41
1341,로비,9,17,15,41
1437,전기,8,11,22,41
1123,시스템,11,11,19,41
861,고속,15,6,20,41
1512,방법,7,11,23,41
496,아시아,25,8,8,41
1673,엄벌,6,8,27,41
1406,구멍,8,11,22,41
1500,직업,7,13,21,41
1830,자체,5,13,23,41
1517,헌법,7,13,21,41
1318,건보,9,6,26,41
1488,구역,7,11,23,41
1128,창고,11,12,18,41
1597,비밀,7,15,19,41
948,불편,14,7,20,41
871,창업,15,8,18,41
1083,강사,11,5,25,41
1148,유감,11,13,17,41
2392,관계자,1,7,32,40
832,통영,16,11,13,40
1507,시청,7,17,16,40
2111,사연,3,9,28,40
1522,대한,7,19,14,40
1574,평택,7,16,17,40
720,전담,18,5,17,40
1168,식품,10,8,22,40
1551,불만,7,7,26,40
775,사무,17,12,11,40
939,상해,14,8,18,40
1563,사인,7,6,27,40
1025,제대로,12,12,16,40
1323,여경,9,2,29,40
1175,가입,10,10,20,40
1299,노래방,9,5,26,40
772,코리아,17,11,12,40
1214,보험금,10,4,26,40
883,동안,15,15,10,40
1856,선생님,5,14,21,40
1235,임신,10,11,19,40
980,초등학교,13,11,16,40
892,대리,14,7,19,40
1087,결식,11,13,16,40
1085,경쟁,11,12,17,40
813,부자,16,7,17,40
1013,한번,13,9,18,40
760,배소,17,7,16,40
947,의인,14,8,18,40
1429,상가,8,5,27,40
891,고용부,14,18,8,40
1390,자신,8,9,23,40
1204,애인,10,5,24,39
1351,음란물,8,9,22,39
1231,이송,10,8,21,39
1352,수상,8,17,14,39
1144,공익,11,11,17,39
1703,전과,6,4,29,39
1418,운명,8,15,16,39
1600,사전,7,13,19,39
1229,신뢰,10,13,16,39
2063,시급,3,15,21,39
1234,순직,10,8,21,39
950,질주,14,10,15,39
1455,보고서,8,22,9,39
1669,반복,6,11,22,39
966,점거,13,12,14,39
890,연합,14,12,13,39
1432,전망,8,7,24,39
1017,유서,13,11,15,39
1868,선발,4,10,25,39
1717,정의,6,18,15,39
767,태양광,17,15,7,39
935,선처,14,5,20,39
1557,작성,7,12,20,39
1610,불가피,6,12,21,39
1968,찬성,4,19,16,39
1336,열차,9,8,21,38
1316,부대,9,12,17,38
915,범인,14,5,19,38
1311,수습,9,7,22,38
789,주사,16,6,16,38
934,김포,14,11,13,38
1074,재범,12,7,19,38
1608,무상,6,19,13,38
1192,감금,10,8,20,38
1199,서류,10,9,19,38
1661,화물차,6,2,30,38
1802,전수,5,18,15,38
1665,장치,6,10,22,38
1218,셀프,10,18,10,38
1388,위법,8,15,15,38
794,연락,16,4,18,38
1288,면허,9,7,22,38
1475,대학가,7,2,29,38
1147,출장,11,14,13,38
1239,수입,10,4,24,38
1413,관광,8,12,18,38
1061,인간,12,14,12,38
1568,스프링클러,7,12,19,38
1050,제작,12,12,14,38
1702,수익,6,7,25,38
2370,장자연,1,15,22,38
1049,드라마,12,17,9,38
1935,비용,4,11,23,38
1862,창원,4,21,13,38
1094,도서관,11,14,13,38
951,옥중,14,7,16,37
1414,행동,8,12,17,37
804,소명,16,9,12,37
1394,제외,8,10,19,37
1427,주행,8,13,16,37
1378,심판,8,17,12,37
1377,상사,8,6,23,37
1340,상납,9,16,12,37
1380,불명,8,8,21,37
1279,생산,9,11,17,37
701,인도,19,8,10,37
1201,도착,10,7,20,37
833,줄줄이,16,12,9,37
905,압박,14,9,14,37
1040,심신,12,8,17,37
1887,비율,4,9,24,37
1065,프로포폴,12,7,18,37
1287,고려,9,8,20,37
1265,자사고,9,18,10,37
1167,출국,10,6,21,37
1971,발암,4,12,21,37
1117,유력,11,12,14,37
1497,청주,7,11,19,37
1158,모욕,10,3,24,37
1260,정치권,9,10,17,36
862,임명,15,8,13,36
1369,위증,8,11,17,36
1250,끝내,9,12,15,36
952,실수,14,5,17,36
1474,오토바이,7,3,26,36
879,항공기,15,7,14,36
1183,스트레스,10,8,18,36
654,인터뷰,20,8,8,36
901,스스로,14,8,14,36
1071,여의도,12,11,13,36
1385,개막,8,21,7,36
779,터미널,17,4,15,36
1077,편파,12,8,16,36
1080,혜택,11,11,14,36
1395,기회,8,16,12,36
1544,방지,7,12,17,36
1472,회수,7,5,24,36
2075,농민,3,22,11,36
773,나들이,17,4,15,36
1289,벌써,9,9,18,36
1629,춘천,6,13,17,36
2037,분양,3,13,20,36
1434,농장,8,9,19,36
1007,직무,13,10,13,36
1452,위력,8,14,14,36
768,묵묵,17,5,14,36
1146,종결,11,7,17,35
1306,제거,9,9,17,35
897,화상,14,4,17,35
1018,나이,13,8,14,35
970,불륜,13,3,19,35
1885,신도,4,9,22,35
1191,해당,10,4,21,35
1670,치유,6,19,10,35
1547,접수,7,7,21,35
1495,부하,7,5,23,35
2053,해제,3,15,17,35
1417,의미,8,10,17,35
1715,근거,6,15,14,35
1457,보안,8,11,16,35
965,통화,13,6,16,35
1163,전체,10,4,21,35
1321,장서,9,7,19,35
870,신상,15,6,14,35
1644,도지사,6,21,8,35
1079,전무,12,10,13,35
1859,학과,5,13,17,35
2356,개정안,1,17,17,35
1374,트럭,8,11,16,35
1329,염동열,9,11,15,35
1376,시비,8,3,24,35
1458,홀로,8,10,17,35
1619,위조,6,5,24,35
1627,운전기사,6,10,19,35
1791,크레인,5,8,22,35
1270,전역,9,10,16,35
1779,명령,5,6,24,35
1561,옥상,7,7,21,35
1611,여교사,6,4,25,35
1221,개인정보,10,10,15,35
1364,육아휴직,8,10,17,35
1421,뺑소니,8,4,22,34
1595,무사,7,5,22,34
1441,피고인,8,12,14,34
1570,운항,7,11,16,34
1618,외면,6,10,18,34
1461,승차,7,9,18,34
1453,선박,8,11,15,34
2153,정시,3,22,9,34
2128,차단,3,7,24,34
1613,시내버스,6,8,20,34
1647,지적,6,9,19,34
1579,외국,7,6,21,34
1556,프로그램,7,6,21,34
2157,대학교,2,5,27,34
1555,규정,7,7,20,34
1053,일회용,12,11,11,34
1320,쟁점,9,12,13,34
1889,보조금,4,10,20,34
1127,헌법재판관,11,13,10,34
1263,전용,9,13,12,34
1130,조롱,11,7,16,34
1327,계좌,9,6,19,34
1152,총수,11,8,15,34
1317,권한,9,10,15,34
1118,장학금,11,8,15,34
1814,제보,5,11,18,34
1182,하자,10,17,7,34
1185,진단,10,5,19,34
1226,주도,10,12,12,34
2009,카톡,3,10,21,34
1240,자진,10,9,15,34
853,더니,15,6,13,34
899,휠체어,14,9,11,34
1278,특정,9,8,17,34
1382,봇물,8,13,13,34
1347,중인,8,6,20,34
1114,변호,11,7,16,34
1667,위로,6,16,12,34
806,육군,16,3,15,34
1051,봉사,12,6,16,34
1101,미약,11,7,16,34
1055,친환경,12,12,9,33
988,감옥,13,11,9,33
1857,오염,5,13,15,33
1237,상실,10,11,12,33
1799,종료,5,6,22,33
1210,경주,10,6,17,33
1810,복구,5,5,23,33
1026,감식,12,4,17,33
1953,상담,4,11,18,33
1817,대출,5,6,22,33
1601,오피스텔,7,7,19,33
1105,박상기,11,8,14,33
1831,어금니,5,10,18,33
1510,의문,7,8,18,33
1839,탄핵,5,14,14,33
1048,격리,12,5,16,33
2152,협약,3,15,15,33
1031,영아,12,5,16,33
1102,소방차,11,3,19,33
1410,반입,8,9,16,33
1446,청소,8,8,17,33
1881,복원,4,19,10,33
1747,성남,5,15,13,33
1650,실태,6,10,17,33
1562,활용,7,18,8,33
1345,경상,8,9,16,33
1566,불가,7,6,20,33
1757,행인,5,5,23,33
1367,진입,8,4,21,33
847,백화점,15,6,12,33
1290,불참,9,7,17,33
816,법조,16,10,7,33
1688,당시,6,7,20,33
1624,요양,6,5,22,33
1442,결함,8,4,21,33
1464,보건,7,10,16,33
953,얘기,14,6,13,33
1346,포천,8,10,14,32
860,기상청,15,5,12,32
2148,근절,3,7,22,32
1772,완전,5,10,17,32
1707,대규모,6,14,12,32
1113,골프,11,3,18,32
1444,목표,8,10,14,32
1656,공급,6,9,17,32
766,조국,17,5,10,32
1100,수감,11,9,12,32
1093,공짜,11,9,12,32
1426,취하,8,8,16,32
1401,내용,8,4,20,32
1508,전자담배,7,9,16,32
1967,최근,4,8,20,32
994,국정원장,13,7,12,32
1198,우린,10,12,10,32
1243,가사,10,3,19,32
1242,무고,10,5,17,32
1877,대안,4,17,11,32
1762,중고,5,3,24,32
1223,기름,10,5,17,32
1141,해양,11,9,12,32
1787,대처,5,11,16,32
1912,차질,4,8,20,32
1537,상징,7,19,6,32
1181,압수,10,6,16,32
921,환송,14,1,17,32
1145,직전,11,8,13,32
991,일선,13,7,11,31
1924,체제,4,10,17,31
981,노래,13,14,4,31
1880,타이어,4,7,20,31
987,공정,13,10,8,31
1572,설명,7,12,12,31
1605,납품,6,5,20,31
1307,동결,9,7,15,31
1238,낙태,10,10,11,31
1397,우울증,8,6,17,31
2091,행안부,3,9,19,31
1712,초과,6,8,17,31
1333,선거운동,9,13,9,31
1727,조희연,5,11,15,31
1280,대진,9,3,19,31
1463,기본,7,9,15,31
1997,사무장,4,6,21,31
787,후원,16,4,11,31
1990,교복,4,18,9,31
1585,체포영장,7,6,18,31
1664,비방,6,7,18,31
1136,방향,11,11,9,31
1075,코치,12,5,14,31
1089,탄생,11,13,7,31
1940,청사,4,16,11,31
1504,소통,7,11,13,31
1892,출입,4,12,14,30
1691,빌딩,6,8,16,30
1716,농가,6,6,18,30
1724,이별,6,5,19,30
1740,동포,5,9,16,30
2040,양성,3,10,17,30
1987,몸살,4,4,22,30
1741,유발,5,8,17,30
2132,암매장,3,5,22,30
2033,조명,3,8,19,30
1565,차이,7,8,15,30
1575,사정,7,12,11,30
2023,입시,3,11,16,30
1753,능력,5,6,19,30
1577,지하,7,8,15,30
1898,얼마나,4,12,14,30
1190,공격,10,7,13,30
1305,중독,9,4,17,30
1501,참변,7,6,17,30
2164,미끼,2,4,24,30
1518,선배,7,7,16,30
1487,사체,7,4,19,30
1520,담당,7,8,15,30
1155,역할,10,6,14,30
1159,외출,10,9,11,30
1339,민중,9,10,11,30
1465,접대,7,7,16,30
1309,거절,9,8,13,30
1362,다툼,8,10,12,30
1276,친형,9,9,12,30
1222,요원,10,8,12,30
865,나눔,15,8,7,30
1081,동덕여대,11,6,12,29
1742,괴물,5,8,16,29
1813,강행,5,12,12,29
1179,지대,10,4,15,29
1826,야간,5,6,18,29
1796,의지,5,7,17,29
1626,박탈,6,6,17,29
1635,메모,6,5,18,29
1247,대체,9,10,10,29
1786,이메일,5,7,17,29
2240,과제,2,11,16,29
1645,공감,6,9,14,29
1088,납치,11,2,16,29
1588,재해,7,9,13,29
1837,민주화,5,15,9,29
1391,실험,8,14,7,29
1672,발화,6,8,15,29
1895,창문,4,7,18,29
1506,서명,7,14,8,29
1029,정도,12,5,12,29
1396,고백,8,8,13,29
1884,만남,4,10,15,29
1338,종업원,9,4,16,29
1335,서해,9,10,10,29
982,윤석열,13,9,7,29
1893,반려견,4,3,22,29
1559,여객선,7,11,11,29
1383,포르노,8,1,20,29
1586,유령,7,9,12,28
940,염려,14,8,6,28
1800,수급,5,6,17,28
1314,장비,9,7,12,28
1425,제명,8,5,15,28
904,탑승,14,3,11,28
1285,윤리,9,5,14,28
1372,장사,8,5,15,28
1630,사각,6,5,17,28
2172,구매,2,6,20,28
1373,손실,8,7,13,28
1256,월드,9,5,14,28
1258,기능,9,4,15,28
2131,사범,3,7,18,28
2001,고성,4,4,20,28
2281,체납,2,4,22,28
1188,다음주,10,8,10,28
1616,매달,6,6,16,28
1937,가담,4,5,19,28
1603,게시,6,5,17,28
1589,내주,7,8,13,28
1021,구급차,13,2,13,28
2058,소유,3,12,13,28
1097,전력,11,3,14,28
2246,상승,2,13,13,28
998,항공사,13,3,12,28
2249,알선,2,3,23,28
1731,기대,5,8,15,28
1840,일대,5,7,16,28
2369,기계,1,12,15,28
1966,행진,4,12,12,28
1150,대검,11,9,8,28
1164,일단,10,5,13,28
2140,신입생,3,5,20,28
1573,안정,7,9,12,28
1735,기숙사,5,7,16,28
2118,가격,3,4,21,28
1272,서로,9,8,11,28
1521,신축,7,6,15,28
1576,하나요,7,8,13,28
1655,현재,6,7,14,27
1435,금고,8,2,17,27
1404,헌법소원,8,9,10,27
2350,임대,1,10,16,27
1409,성인,8,7,12,27
1760,강의,5,8,14,27
1325,전날,9,5,13,27
1750,여기,5,13,9,27
1381,친모,8,5,14,27
1578,회담,7,6,14,27
1822,남학생,5,8,14,27
1972,답변,4,9,14,27
1615,유튜브,6,10,11,27
1811,비위,5,3,19,27
1910,무마,4,13,10,27
1808,대학원생,5,6,16,27
1584,매년,7,4,16,27
1788,보관,5,4,18,27
1528,영진,7,7,13,27
1110,봉투,11,3,13,27
1631,명중,6,7,14,27
1908,공유,4,7,16,27
1539,과실,7,4,16,27
1451,참여연대,8,9,10,27
855,원전,15,6,6,27
791,미리,16,6,5,27
996,세번,13,5,8,26
1252,기승,9,4,13,26
1711,논문,6,8,12,26
1909,폭풍,4,7,15,26
1704,부천,6,10,10,26
1342,일주일,8,8,10,26
1131,포장,11,6,9,26
1096,노예,11,3,12,26
1332,보료,9,5,12,26
1960,용기,4,10,12,26
1169,절대,10,5,11,26
1687,증세,6,6,14,26
1984,김부겸,4,7,15,26
1207,동상,10,10,6,26
1215,업계,10,4,12,26
1216,실업,10,7,9,26
1756,상대로,5,2,19,26
1793,여대,5,5,16,26
1283,부분,9,4,13,26
1766,연쇄,5,5,16,26
1330,배치,9,9,8,26
1343,그날,8,8,10,26
1617,행각,6,5,15,26
2099,취한,3,3,20,26
1652,방조,6,6,14,26
2143,경력,3,9,14,26
1498,시속,7,4,15,26
1529,언론사,7,10,9,26
1685,비극,6,5,15,26
2107,학습,3,7,16,26
1403,형제,8,4,14,26
2166,제정,2,12,12,26
1558,비행기,7,5,14,26
2138,며느리,3,6,17,26
1545,정리,7,5,13,25
1483,손배,7,6,12,25
2046,취약,3,11,11,25
1002,하차,13,5,7,25
2251,도민,2,16,7,25
1033,화학,12,4,9,25
1447,검경,8,4,13,25
1069,아이돌,12,7,6,25
1587,신호,7,5,13,25
2343,선장,1,5,19,25
1424,구간,8,9,8,25
1590,번호,7,6,12,25
1855,해도,5,8,12,25
2050,보완,3,4,18,25
1746,작전,5,8,12,25
1607,할아버지,6,7,12,25
1902,익산,4,7,14,25
2352,개헌,1,16,8,25
1847,동해안,5,11,9,25
1951,갑론,4,3,18,25
1758,서울역,5,8,12,25
1832,제조,5,8,12,25
1491,시효,7,5,13,25
1149,여사,11,3,11,25
2011,약자,3,11,11,25
1764,폐업,5,5,15,25
1636,고심,6,6,13,25
1433,유리,8,6,11,25
1693,의도,6,5,14,25
924,유럽,14,6,5,25
1564,로또,7,4,14,25
1986,지법,4,10,11,25
2158,임대주택,2,6,17,25
1389,지옥,8,6,11,25
2169,역주행,2,7,16,25
2340,이주,1,11,13,25
1358,반납,8,3,14,25
1816,들통,5,2,18,25
1460,연봉,7,5,13,25
1361,승소,8,6,11,25
1886,가정폭력,4,6,15,25
1718,호기,6,6,13,25
1225,분리,10,6,9,25
2388,둔기,1,1,23,25
1818,완화,5,8,12,25
1177,가게,10,4,11,25
960,도망,14,7,4,25
967,위치,13,4,8,25
1527,여대생,7,1,17,25
1824,흡입,5,4,16,25
1623,개장,6,8,10,24
1172,세력,10,5,9,24
1649,실체,6,6,12,24
2381,총력,1,4,19,24
2363,주거,1,11,12,24
1640,사무소,6,5,13,24
1775,행패,5,1,18,24
2142,정치인,3,6,15,24
1261,공소,9,4,11,24
1162,시내,10,6,8,24
1991,메시지,4,7,13,24
1466,현수막,7,2,15,24
1482,필수,7,6,11,24
1459,웹툰,8,7,9,24
1784,결제,5,3,16,24
1976,발굴,4,9,11,24
1992,방서,4,2,18,24
1448,시계,8,8,8,24
1938,체결,4,1,19,24
1873,생존,4,7,13,24
1360,사과문,8,6,10,24
1392,탈북민,8,1,15,24
2116,지목,3,8,13,24
1337,중계,9,5,10,24
1719,강간,6,1,17,24
2059,박람회,3,11,10,24
1915,여수,4,7,13,24
2125,속옷,3,5,16,24
1729,부과,5,5,14,24
1668,파행,6,10,8,24
1732,국과수,5,4,15,24
2337,치마,1,5,18,24
1899,성과,4,6,14,24
1503,번지,7,12,5,24
2244,괴롭힘,2,5,17,24
2256,꿀꺽,2,2,20,24
2398,교도소,1,6,17,24
1657,화제,6,5,13,24
2077,스토킹,3,11,10,24
1129,미스터리,11,3,10,24
1903,소음,4,4,16,24
2082,낚시,3,6,15,24
1900,오른,4,10,10,24
1838,지난,5,6,13,24
2254,한잔,2,5,16,23
1530,시술,7,2,14,23
1891,참가,4,8,11,23
1612,묵인,6,2,15,23
1538,파리,7,6,10,23
1489,수배,7,4,12,23
1823,면죄부,5,12,6,23
1871,장례식,4,4,15,23
1867,해법,4,10,9,23
1932,고령,4,3,16,23
1970,북적,4,5,14,23
1942,발목,4,2,17,23
1947,격차,4,7,12,23
1492,후임,7,5,11,23
1833,불량,5,4,14,23
1604,방위,6,7,10,23
2093,즉각,3,8,12,23
2163,유차,2,7,14,23
1334,매장,9,5,9,23
1641,의대,6,4,13,23
2025,벤츠,3,3,17,23
1431,스마트,8,3,12,23
1301,야구,9,3,11,23
1297,복무,9,5,9,23
1654,조합원,6,9,8,23
1736,중학교,5,4,14,23
1326,아프리카,9,3,11,23
1730,탈락,5,7,11,23
1768,캠페인,5,7,11,23
2283,충남지사,2,13,8,23
1428,분야,8,2,13,23
2003,전형,3,9,11,23
1663,최선,6,2,15,23
1370,여권,8,3,12,23
2089,입법,3,7,13,23
1205,평생,10,5,8,23
2070,미흡,3,3,17,23
1979,안내,4,7,12,23
1514,통진당,7,11,4,22
2041,연령,3,3,16,22
1045,프랑스,12,4,6,22
2317,시정,1,10,11,22
1737,지구대,5,1,16,22
1682,논쟁,6,4,12,22
2239,구직,2,5,15,22
1864,임시,4,7,11,22
1371,한밤,8,3,11,22
1408,오해,8,4,10,22
2104,변명,3,2,17,22
2287,전격,2,6,14,22
1515,경위,7,6,9,22
2079,반영,3,7,12,22
1920,노모,4,1,17,22
1918,성분,4,2,16,22
2194,개설,2,8,12,22
2230,재정,2,10,10,22
923,은퇴,14,2,6,22
1709,조기,6,5,11,22
1671,불꽃,6,5,11,22
1722,면담,6,3,13,22
1721,태운,6,6,10,22
1531,체육,7,4,11,22
1430,누군가,8,2,12,22
1633,쇼핑,6,4,12,22
1776,야생,5,7,10,22
1973,자제,4,7,11,22
1829,캠퍼스,5,3,14,22
1440,무릎,8,5,9,22
1790,이중,5,8,9,22
1646,골프장,6,7,9,22
1622,촛불집회,6,5,11,22
1436,후회,8,3,11,22
1490,현역,7,6,9,22
2266,낙태죄,2,9,11,22
1220,대원,10,1,11,22
2121,난항,3,6,13,22
1598,브로커,7,1,14,22
1637,일방,6,7,9,22
1294,이해,9,4,9,22
1843,기범,5,1,16,22
1477,사생활,7,5,10,22
1809,부근,5,5,12,22
1952,활성화,4,8,10,22
1755,결의,5,5,12,22
2024,관행,3,8,11,22
1853,유도,5,3,14,22
2120,수요,3,1,18,22
2263,불신,2,5,15,22
1996,먼지,4,9,9,22
2081,정비,3,4,14,21
2331,의약품,1,2,18,21
2137,투숙,3,4,14,21
1983,꼬리,4,6,11,21
2067,소재,3,4,14,21
2039,장면,3,7,11,21
2334,주요,1,6,14,21
1988,혹시,4,3,14,21
1995,토론,4,9,8,21
2342,일정,1,6,14,21
2005,술집,3,2,16,21
2047,짝퉁,3,3,15,21
2019,수시,3,7,11,21
2021,마비,3,6,12,21
1929,한숨,4,6,11,21
2394,설계,1,10,10,21
2258,생태,2,11,8,21
1594,장병,7,7,7,21
1541,지점,7,4,10,21
1606,통행료,6,6,9,21
1767,통행,5,4,12,21
1523,불기소,7,5,9,21
1865,살이,4,9,8,21
1540,사안,7,3,11,21
1582,파출소,7,3,11,21
1849,고개,5,4,12,21
1592,금괴,7,5,9,21
1792,취준생,5,2,14,21
1438,기내,8,2,11,21
1648,출생,6,1,14,21
1681,자식,6,1,14,21
1759,회식,5,1,15,21
1698,소주,6,3,12,21
1841,정유,5,5,11,21
1710,물의,6,6,9,21
1726,단서,6,7,8,21
1470,원칙,7,5,9,21
1739,생후,5,7,9,21
1399,신속,8,5,8,21
1264,대행,9,4,8,21
1319,그냥,9,3,9,21
1890,온실가스,4,10,7,21
1773,아웃,5,8,8,21
1135,사의,11,5,5,21
1344,빈소,8,2,11,21
1794,등산,5,7,9,21
1109,손해,11,3,7,21
1274,반격,9,5,7,21
1269,행렬,9,2,10,21
1244,신발,10,1,10,21
1692,실제,6,4,10,20
1684,만료,6,3,11,20
1666,퇴사,6,1,13,20
1782,초등학생,5,7,8,20
1689,지위,6,6,8,20
1959,수사의뢰,4,3,13,20
1958,수갑,4,6,10,20
2015,남양주,3,5,12,20
2064,신규,3,5,12,20
1963,펑펑,4,4,12,20
1720,국선,6,1,13,20
2056,정신질환,3,4,13,20
1828,끼리,5,5,10,20
2042,생리대,3,6,11,20
1642,무조건,6,7,7,20
2014,당부,3,4,13,20
1525,본인,7,3,10,20
2177,한전,2,6,12,20
1450,헌금,8,5,7,20
2267,통계,2,6,12,20
1803,처방,5,6,9,20
1485,대치,7,4,9,20
1927,인식,4,3,13,20
1350,추돌사고,8,2,10,20
1499,관측,7,7,6,20
2368,감동,1,9,10,20
2150,국립공원,3,10,7,20
2034,냄새,3,3,14,20
1548,물건,7,2,11,20
1553,코레일,7,4,9,20
2155,측정,3,4,13,20
1583,임박,7,2,11,20
1291,이익,9,3,8,20
1763,차원,5,4,10,19
1749,정년,5,6,8,19
1748,구입,5,3,11,19
1771,고립,5,1,13,19
1781,존재,5,4,10,19
2030,표시,3,3,13,19
2004,질병,3,2,14,19
1621,포획,6,4,9,19
1744,구축,5,4,10,19
1476,눈치,7,4,8,19
1121,사면,11,3,5,19
2379,융합,1,12,6,19
1308,보유,9,5,5,19
1322,악마,9,3,7,19
1398,약물,8,2,9,19
2277,불응,2,5,12,19
1493,기적,7,4,8,19
1733,한국사,5,5,9,19
2186,부품,2,5,12,19
2136,당첨,3,2,14,19
1628,저수지,6,1,12,19
1686,외상,6,4,9,19
1705,제압,6,4,9,19
2060,솜방망이,3,3,13,19
1785,말다툼,5,1,13,19
1897,유입,4,6,9,19
1922,분당,4,3,12,19
1957,참가자,4,8,7,19
1844,장난,5,2,12,19
1848,이불,5,2,12,19
1946,중간,4,5,10,19
1955,고생,4,3,12,19
1939,수상한,4,6,9,19
1875,열기,4,4,11,19
1807,개시,5,9,5,19
1964,극복,4,7,8,19
1965,보강,4,4,11,19
